[   62451ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
[   65657ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[   65659ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[   65659ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[   68903ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
[   70658ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[   70664ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[   70664ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[   75657ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[   75659ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[   75659ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[   77926ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
[   80657ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[   80658ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[   80658ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[   85056ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
[   85657ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[   85657ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/tasks?max_results=20:0
[   85658ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[   85658ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[   90658ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[   90661ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[   90661ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[   92675ms] [ERROR] WebSocket connection to 'ws://localhost:8000/ws/status' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@fs/Users/coffeedev/Projects/03_AGENTIC-DEVOPS/agentic-devops-pipeline-v2/packages/data-client/src/index.ts:188
[   94088ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
[   95658ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[   95661ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[   95661ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[  100657ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[  100660ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[  100660ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[  101821ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
[  105657ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[  105659ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[  105659ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[  109213ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
[  110657ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[  110658ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[  110658ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[  115657ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[  115657ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/tasks?max_results=20:0
[  115658ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[  115658ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[  116946ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
[  120663ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[  120781ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[  120781ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[  124357ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
[  124953ms] [ERROR] WebSocket connection to 'ws://localhost:8000/ws/status' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@fs/Users/coffeedev/Projects/03_AGENTIC-DEVOPS/agentic-devops-pipeline-v2/packages/data-client/src/index.ts:188
[  125657ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[  125660ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[  125660ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[  130639ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
